efgroup,species,ef
3,3-Furaldehyde,0.022
3,3-Hexanone,0.029
3,3-Methyl-1-Butene,0.005
3,3-Methyl-2-Butanone,0.027
3,3-Methylfuran,0.03
3,3-Methylpentane,0.005
3,3-Methylstyrene,0.017
3,3-Pentanone,0.03
3,4-Methylstyrene,0.009
3,Acetaldehyde,1.119
3,Acetic Acid,3.02
3,Acetone,0.575
3,Acetonitrile,0.215
3,Acrolein,0.342
3,Acrylic Acid,0.047
3,Acrylonitrile,0.034
3,Benzaldehyde,0.274
3,Benzene,0.3
3,Benzenenitrile,0.062
3,Benzofuran,0.135
3,Butenyne,0.003
3,C10H14 non-aromatic,0.004
3,C11 Aromatics,0.138
3,CH4,4.86
3,CO,105
3,CO2,1598
3,Camphene,0.028
3,Crotonaldehyde,0.296
3,Cyclohexene,0.002
3,Cyclopentane,0.004
3,Cyclopentanone,0.141
3,Cyclopentene,0.032
3,Cyclopentenedione,0.012
3,Cyclopentenone,0.006
3,D-Limonene,0.097
3,Divinylacetylene,0.003
3,Ethane,0.665
3,Ethanol,0.239
3,Ethene,1.381
3,Ethyl Formate,0.009
3,Ethyl Xylene_i1,0.009
3,Ethyl Xylene_i2,0.005
3,Ethylbenzene,0.056
3,Ethylstyrene,0.004
3,Ethyne,0.312
3,Ethynyl Benzene,0.006
3,Formaldehyde,2.235
3,FormicAcid,0.184
3,Furan,0.49
3,Glycolaldehyde,0.725
3,Glycolic Acid,0.046
3,Heptadiyne_i1,0.002
3,Heptadiyne_i2,0
3,Hexenes,0.066
3,Hexenyne,0.004
3,Hydrogen Cyanide,0.765
3,Indane,0.007
3,Indene,0.02
3,Isobutylbenzene,0.008
3,Isocyanic Acid,0.147
3,Isoprene,0.096
3,Isopropylbenzene,0.006
3,Methacrolein,0.064
3,Methanol,2.515
3,Methyl Acetate,0.174
3,Methyl Acrylate,0.008
3,Methyl Diazine_i2,0.006
3,Methyl Diazine_i3,0.003
3,Methyl Ethyl Ketone,0.175
3,Methyl Formate,0.022
3,Methyl Propanoate,0.005
3,Methyl Vinyl Ketone,0.309
3,Methyl-n-Propylbenzene,0.008
3,MethylButanoate,0.017
3,MethylCyclopentadiene_i1,0.01
3,MethylCyclopentadiene_i2,0.01
3,MethylDiazine_i1,0.014
3,MethylMethacrylate,0.035
3,Methylbenzofuran,0
3,Methylbenzofuran_i1,0.013
3,Methylbenzofuran_i2,0.023
3,Methylbenzofuran_i3,0.033
3,Monoterpenes,0.413
3,Myrcene,0.004
3,NH3,1.53
3,NMOC,26.975
3,NOx,2.06
