Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
3-Hexanone ,C6H12O,0.018,0.025,0.039,,,0.033,0.033,0.059,0.054,0.054
2-Hexanone ,C6H12O,0.007,0.010,0.016,,,0.015,0.015,0.023,0.01,0.01
2-Ethylpyrazine ,C6H8N2,0.004,0.006,0.010,,,0.004,0.004,0.014,0.021,0.021
Resorcinol ,C6H6O2,1.009,1.402,2.206,,,0.189,0.189,3.273,2.69,2.69
Toluene ,C6H5CH3,0.199,0.240,0.307,,,0.174,0.174,0.579,0.488,0.488
Heptadiyne ,"isomer 1,C7H8",0.001,0.001,0.002,,,0.002,0.002,0.003,0.005,0.005
Heptadiyne ,"isomer 2,C7H8",0.000,0.000,0.000,,,0.002,0.002,0.001,0.002,0.002
1-Methylcyclohexene ,C7H12,0.006,0.008,0.013,,,0.003,0.003,0.019,0.01,0.01
1-Heptene ,C7H14,0.025,0.038,0.060,,,0.052,0.052,0.089,0.088,0.088
1-Methylcyclohexane ,C7H14,0.003,0.004,0.006,,,0.003,0.003,0.009,0.009,0.009
n-Heptane ,C7H16,0.008,0.024,0.035,,,0.021,0.021,0.043,0.048,0.048
Benzenenitrile ,C7H5N,0.038,0.053,0.084,,,0.056,0.056,0.124,0.101,0.101
Benzaldehyde ,C7H6O,0.168,0.233,0.367,,,0.243,0.243,0.544,0.583,0.583
Ethynyl Benzene ,C8H6,0.004,0.005,0.008,,,0.053,0.053,0.072,0.043,0.043
Styrene ,C8H8,0.040,0.059,0.093,,,0.088,0.088,0.064,0.117,0.117
Ethylbenzene ,C8H10,0.039,0.025,0.075,,,0.040,0.040,0.111,0.104,0.104
"m,p-Xylenes ",C8H10,0.080,0.060,0.193,,,0.069,0.069,0.286,0.178,0.178
o-Xylene ,C8H10,0.025,0.027,0.068,,,0.038,0.038,0.072,0.101,0.101
Octadiene ,C8H14,0.018,0.024,0.039,,,0.023,0.023,0.057,0.05,0.05
1-Octene ,C8H16,0.022,0.039,0.061,,,0.052,0.052,0.066,0.087,0.087
n-Octane ,C8H18,0.008,0.020,0.031,,,0.019,0.019,0.036,0.039,0.039
Benzofuran ,C8H6O,0.083,0.115,0.181,,,0.103,0.103,0.268,0.908,0.908
Indene ,C9H8,0.012,0.017,0.027,,,0.031,0.031,0.04,0.051,0.051
Indane ,C9H10,0.004,0.006,0.009,,,0.009,0.009,0.013,0.01,0.01
1-Propenylbenzene ,C9H10,0.001,0.002,0.003,,,0.005,0.005,0.005,0.001,0.001
alpha-Methylstyrene ,C9H10,0.002,0.003,0.004,,,0.005,0.005,0.007,0.004,0.004
3-Methylstyrene ,C9H10,0.010,0.015,0.023,,,0.020,0.020,0.034,0.034,0.034
2-Methylstyrene ,C9H10,0.006,0.009,0.013,,,0.014,0.014,0.02,0.019,0.019
2-Propenylbenzene ,C9H10,0.004,0.005,0.008,,,0.006,0.006,0.012,0.009,0.009
4-Methylstyrene ,C9H10,0.005,0.008,0.012,,,0.006,0.006,0.018,0.013,0.013
"1-Ethyl-3-,4-Methylbenzene ",C9H12,0.021,0.029,0.045,,,0.016,0.016,0.067,0.043,0.043
"1,2,4-Trimethylbenzene ",C9H12,0.071,0.015,0.048,,,0.017,0.017,0.124,0.056,0.056
1-Ethyl-2-Methylbenzene ,C9H12,0.006,0.009,0.014,,,0.011,0.011,0.02,0.012,0.012
"1,2,3-Trimethylbenzene ",C9H12,0.047,0.025,0.044,,,0.018,0.018,0.167,0.029,0.029
Isopropylbenzene ,C9H12,0.001,0.005,0.008,,,0.006,0.006,0.006,0.006,0.006
n-Propylbenzene ,C9H12,0.005,0.009,0.014,,,0.010,0.010,0.031,0.012,0.012
"1,3,5-Trimethylbenzene ",C9H12,0.020,0.003,0.020,,,0.014,0.014,0.025,0.021,0.021
Nonadiene ,C9H16,0.002,0.003,0.004,,,0.002,0.002,0.007,0,0
1-Nonene ,C9H18,0.008,0.011,0.017,,,0.010,0.010,0.025,0.023,0.023
Nonane ,C9H20,0.019,0.012,0.019,,,0.013,0.013,0.034,0.023,0.023
Methylbenzofuran ,"isomer 1,C9H8O",0.008,0.011,0.018,,,0.012,0.012,0.027,0.024,0.024
Methylbenzofuran ,"isomer 2,C9H8O",0.014,0.020,0.031,,,0.019,0.019,0.046,0.038,0.038
Methylbenzofuran ,"isomer 3,C9H8O",0.020,0.028,0.044,,,0.032,0.032,0.066,0.052,0.052
Naphthalene ,C10H8,0.199,0.277,0.435,,,0.173,0.173,0.645,0.815,0.815
"1-,3-MethylIndene ",C10H10,0.000,0.000,0.000,,,0.001,0.001,0,0.002,0.002
"1,2-Dihydronaphthalene ",C10H10,0.004,0.006,0.009,,,0.007,0.007,0.014,0.006,0.006
"1,3-Dihydronaphthalene ",C10H10,0.005,0.007,0.010,,,0.007,0.007,0.015,0.007,0.007
1-Butenylbenzene ,C10H14,0.002,0.002,0.004,,,0.002,0.002,0.005,0.002,0.002
